id,name,site_type,country,source_url,comment
fe9d2d34-c026-44cd-9883-86b23c96c962,Northern Avenue Petroglyph Site,petroglyphs,USA,https://en.wikipedia.org/wiki/Northern_Avenue_Petroglyph_Site,Arizona petroglyphs. No specific dating; range widely 500-5000 years old. NRHP restricted location.
dcbbad93-6d45-4a6f-93a7-a9a3887295aa,Paracas History Museum,elongated skulls,Peru,https://hiddenincatours.com/elongated-human-skulls-at-the-paracas-history-museum-in-peru/,Museum displaying Paracas culture artifacts. Not an archaeological site.
0abf05cb-0fda-4567-9d9d-0829911a8c66,Paradise Cave,cave structures,Poland,https://en.wikipedia.org/wiki/Paradise_Cave,Natural geological karst cave. Tourist attraction. No archaeological significance.
eb80c959-82f5-4288-9a3d-02c2695e583a,Parque Nacional de Shorsky,cave structures,Russia,https://en.wikipedia.org/wiki/Shorsky_National_Park,National park with diverse sites from Paleolithic to Middle Ages. No single period assignable.
b89bd9e5-053b-4d85-a2a9-1f79a6c3b452,Popping Stone,geological interest,England,https://en.wikipedia.org/wiki/Popping_Stone,"Possible megalithic monument at Gilsland. ""Almost total absence of historical sources or archaeological investigation."""
182f18fe-36ea-42c8-9a43-cbbc37d052a6,Prebreza,city/town/settlement,Serbia,https://en.wikipedia.org/wiki/Prebreza,Village in Kosovo/Serbia area. No specific archaeological dating found despite multiple searches.
74c2c902-db56-411f-b98f-6711a6825b48,Rocks of Saskatchewan,geological interest,Canada,http://ryanwunsch.com/mystery-rocks-saskatchewan/,Natural rock formation in Cypress Hills. No confirmed archaeological period. Likely geological.
045f1593-1dac-4504-9c53-ee8644a3134c,Singing Stones of Brittany,geological interest,France,https://en.wikipedia.org/wiki/Singing_Stones_of_Brittany,Natural basalt geological formation. Not a man-made archaeological site.
cf3b581a-c47f-41c6-9922-48c6e3b8d3a0,Situs Megalit Tebing Tinggi,megalithic stones,Indonesia,https://kebudayaan-kemdikbud-go-id.translate.goog/bpcbjambi/situs-tebingtinggi/,Megalithic site in Jambi Indonesia. Insufficient dating information in English sources.
79898fb7-ea09-4366-93ee-d87e379e1aca,Temple of Lemminkäinen,cave structures,Finland,https://en.wikipedia.org/wiki/Temple_of_Lemmink%C3%A4inen,Finnish Heritage Agency says natural formation. Pseudoarchaeological claims with no scientific basis.
bcfba32b-fa88-44a0-8dc9-ace3a9416bb9,The Davidson Center,museum,Israel,,Modern museum (opened 2001) in Jerusalem Archaeological Park. Not an archaeological site.
6dfdc2fb-802e-4193-b9c9-15684d50bea8,Waruq,city/town/settlement,Peru,https://en.wikipedia.org/wiki/Waruq,Archaeological site in Yarowilca/Chavinillo Huánuco. No dating information found.
01296632-a2a1-4610-a4a9-d0c3be77b788,Yonaguni Monument,underwater structures,Japan,https://en.wikipedia.org/wiki/Yonaguni_Monument,Highly debated. Neither Japanese nor Okinawa authorities recognize as archaeological. Likely natural geological formation.
